year_test,topN,metrics
2010,0.05,"{'auc': 0.7006626601070011, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.011152416356877323, 'ndcg_at_k': 0.05640990097529116}"
2011,0.01,"{'auc': 0.728147696009483, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2011,0.02,"{'auc': 0.728147696009483, 'sensitivity_topk': 0.14285714285714285, 'precision_topk': 0.027777777777777776, 'ndcg_at_k': 0.06376882937799605}"
2011,0.03,"{'auc': 0.728147696009483, 'sensitivity_topk': 0.14285714285714285, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.06376882937799605}"
2011,0.04,"{'auc': 0.728147696009483, 'sensitivity_topk': 0.19047619047619047, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.08162909634917352}"
2011,0.05,"{'auc': 0.728147696009483, 'sensitivity_topk': 0.23809523809523808, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.0987179436793468}"
2012,0.01,"{'auc': 0.7032614507217965, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2012,0.02,"{'auc': 0.7032614507217965, 'sensitivity_topk': 0.05263157894736842, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.02266722031466329}"
2012,0.03,"{'auc': 0.7032614507217965, 'sensitivity_topk': 0.10526315789473684, 'precision_topk': 0.011904761904761904, 'ndcg_at_k': 0.04367072568908304}"
2012,0.04,"{'auc': 0.7032614507217965, 'sensitivity_topk': 0.15789473684210525, 'precision_topk': 0.013333333333333334, 'ndcg_at_k': 0.06296617761831529}"
2012,0.05,"{'auc': 0.7032614507217965, 'sensitivity_topk': 0.15789473684210525, 'precision_topk': 0.010676156583629894, 'ndcg_at_k': 0.06296617761831529}"
2013,0.01,"{'auc': 0.7246757855345507, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2013,0.02,"{'auc': 0.7246757855345507, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.033394441781698106}"
2013,0.03,"{'auc': 0.7246757855345507, 'sensitivity_topk': 0.18181818181818182, 'precision_topk': 0.011834319526627219, 'ndcg_at_k': 0.0636309252397294}"
2013,0.04,"{'auc': 0.7246757855345507, 'sensitivity_topk': 0.18181818181818182, 'precision_topk': 0.008888888888888889, 'ndcg_at_k': 0.0636309252397294}"
2013,0.05,"{'auc': 0.7246757855345507, 'sensitivity_topk': 0.18181818181818182, 'precision_topk': 0.0070921985815602835, 'ndcg_at_k': 0.0636309252397294}"
2014,0.01,"{'auc': 0.7162102080739818, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.02,"{'auc': 0.7162102080739818, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.03,"{'auc': 0.7162102080739818, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.04,"{'auc': 0.7162102080739818, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.05,"{'auc': 0.7162102080739818, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
