iterations,auc
100,0.7939818500238814
200,0.7920300494731317
300,0.7949272841275176
400,0.7978205876629694
500,0.7973527845098191
600,0.7958668215527527
700,0.7964348682387211
800,0.796839773488927
900,0.7957528191036655
1000,0.7944457220580979
1500,0.7955366075622935
2000,0.7937558106851744
2500,0.7945145166394436
3000,0.793299800888826
