year_test,topN,metrics
2010,0.04,"{'auc': 0.716332707009567, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.013953488372093023, 'ndcg_at_k': 0.05467617989357601}"
2010,0.05,"{'auc': 0.716332707009567, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.011152416356877323, 'ndcg_at_k': 0.05467617989357601}"
2011,0.01,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.09523809523809523, 'precision_topk': 0.037037037037037035, 'ndcg_at_k': 0.05486480011229837}"
2011,0.02,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.09523809523809523, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.05486480011229837}"
2011,0.03,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.14285714285714285, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.07414549226607879}"
2011,0.04,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.23809523809523808, 'precision_topk': 0.023148148148148147, 'ndcg_at_k': 0.11070301482424431}"
2011,0.05,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.23809523809523808, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.11070301482424431}"
2012,0.01,"{'auc': 0.7008132521644515, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2012,0.02,"{'auc': 0.7008132521644515, 'sensitivity_topk': 0.05263157894736842, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.02173046943146476}"
2012,0.03,"{'auc': 0.7008132521644515, 'sensitivity_topk': 0.05263157894736842, 'precision_topk': 0.005952380952380952, 'ndcg_at_k': 0.02173046943146476}"
2012,0.04,"{'auc': 0.7008132521644515, 'sensitivity_topk': 0.15789473684210525, 'precision_topk': 0.013333333333333334, 'ndcg_at_k': 0.05992807531145635}"
2012,0.05,"{'auc': 0.7008132521644515, 'sensitivity_topk': 0.15789473684210525, 'precision_topk': 0.010676156583629894, 'ndcg_at_k': 0.05992807531145635}"
2013,0.01,"{'auc': 0.7265791341376863, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2013,0.02,"{'auc': 0.7265791341376863, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2013,0.03,"{'auc': 0.7265791341376863, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.005917159763313609, 'ndcg_at_k': 0.029670995073958175}"
2013,0.04,"{'auc': 0.7265791341376863, 'sensitivity_topk': 0.18181818181818182, 'precision_topk': 0.008888888888888889, 'ndcg_at_k': 0.05753110566465655}"
2013,0.05,"{'auc': 0.7265791341376863, 'sensitivity_topk': 0.18181818181818182, 'precision_topk': 0.0070921985815602835, 'ndcg_at_k': 0.05753110566465655}"
2014,0.01,"{'auc': 0.7326605015116485, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.02,"{'auc': 0.7326605015116485, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.03,"{'auc': 0.7326605015116485, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.04,"{'auc': 0.7326605015116485, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2014,0.05,"{'auc': 0.7326605015116485, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
