year,auc,accuracy,precision,recall,true_positives,false_positives,false_negatives,NDCG_at_k,precision_JAR,sensitivity
2003.0,0.7210684238395011,0.9882962715265006,0.3333333333333333,0.014492753623188406,1.0,2.0,68.0,0.09247095250796074,0.06779661016949153,0.057971014492753624
2004.0,0.7379360226285767,0.9861813279406808,0.038461538461538464,0.017241379310344827,1.0,25.0,57.0,0.014724840338466376,0.01694915254237288,0.017241379310344827
2005.0,0.7142202360490432,0.9863551083063278,0.02702702702702703,0.022222222222222223,1.0,36.0,44.0,0.013443605663219324,0.017241379310344827,0.022222222222222223
2006.0,0.703290780141844,0.8842247799593771,0.017777777777777778,0.36363636363636365,12.0,663.0,21.0,0.0,0.0,0.0
2007.0,0.6472935936964713,0.8268575323790047,0.010912698412698412,0.36666666666666664,11.0,997.0,19.0,0.0,0.0,0.0
2008.0,0.6174984163705968,0.9864575908766928,0.019230769230769232,0.038461538461538464,1.0,51.0,25.0,0.013064027894717278,0.017857142857142856,0.038461538461538464
